"Feature","Gain","Cover","Frequency"
"Store_id.170",7.30057577980743e-05,1.85524572665119e-05,0.000548847420417124
"Store_id.328",7.03276673341377e-05,0.00275949018916791,0.000365898280278083
"Store_id.248",7.01756949634689e-05,0.00315145636582123,0.000365898280278083
"Store_id.24",6.70266845957901e-05,0.00120685923939083,0.000304915233565069
"Store_id.344",6.69399912083911e-05,0.000349781806739509,0.00048786437370411
"Store_id.154",6.62409538880808e-05,0.000169318252230571,0.000304915233565069
"Store_id.271",6.42529092364894e-05,0.000433744927625666,0.000365898280278083
"Store_id.299",6.29210730969498e-05,0.00275900160271567,0.000304915233565069
"Store_id.99",6.26924346177293e-05,0.00277430910845035,0.000365898280278083
"Store_id.283",6.26416818445008e-05,0.00221071080787756,0.000365898280278083
"Store_id.228",6.1267309200142e-05,0.00135895712383315,0.000243932186852055
"Store_id.137",5.81250281659863e-05,0.00276155054901837,0.000304915233565069
"Store_id.125",5.53352587250258e-05,0.00239305495929699,0.000304915233565069
"Store_id.188",5.33798313245902e-05,3.79852920082794e-05,0.000304915233565069
"Store_id.329",5.31610739724976e-05,0.00183989212785498,0.000243932186852055
"Store_id.256",5.25890965090911e-05,7.75515760270964e-05,0.000304915233565069
"Store_id.97",5.19442084008838e-05,0.00221243007907269,0.000243932186852055
"Store_id.54",4.96456231173059e-05,0.00167356070601166,0.000243932186852055
"Store_id.300",4.83883116459049e-05,0.000160980017399485,0.000670813513843152
"Store_id.287",4.64004099688217e-05,0.000229474306835601,0.000365898280278083
"Store_id.319",4.57697144634698e-05,0.00220013705956219,0.000243932186852055
"Store_id.190",4.56029934779689e-05,0.000163943801255974,0.000304915233565069
"Store_id.30",4.47035980361762e-05,3.62521928946873e-05,0.000365898280278083
"Store_id.9",4.45349325973627e-05,0.00219860676991933,0.000243932186852055
"Store_id.138",4.40804166355372e-05,0.00220506440783993,0.000243932186852055
"Store_id.223",4.22389526270468e-05,0.000102842838889544,0.000243932186852055
"Store_id.240",4.20776074830573e-05,8.78072822179011e-05,0.000121966093426028
"Store_id.3",4.20376445193871e-05,2.34106659519538e-05,0.000182949140139041
"Store_id.22",4.15250014769171e-05,0.00220892700639628,0.000243932186852055
"Store_id.326",4.09952555060455e-05,0.000627128367281941,0.000243932186852055
"Store_id.304",4.06865735426667e-05,3.78239662929185e-05,0.000304915233565069
"Store_id.182",3.91341817494415e-05,3.03891554678542e-05,0.000365898280278083
"Store_id.307",3.89020642238529e-05,0.00121099839631638,0.000304915233565069
"Store_id.262",3.51485798756409e-05,0.0016573359483525,0.000182949140139041
"Store_id.112",3.49757078090727e-05,0.00165173103207025,0.000182949140139041
"Store_id.291",3.49612070167217e-05,0.000185722772829706,0.000182949140139041
"Store_id.218",3.43868021638856e-05,0.00115734146338732,0.000182949140139041
"Store_id.120",3.37629916754103e-05,5.59477580871855e-05,0.000182949140139041
"Region_Code.R2",3.16580065848901e-05,8.62862111873548e-06,0.000121966093426028
"Store_id.91",2.77456902668231e-05,0.00111980327407589,0.000243932186852055
"Store_id.21",2.77358091396952e-05,1.80500428958163e-05,6.09830467130138e-05
"Store_id.232",2.58178887185986e-05,1.51046962639403e-05,6.09830467130138e-05
"Store_id.360",2.57893986649152e-05,8.36128136185158e-06,6.09830467130138e-05
"Store_id.69",2.57214825962704e-05,0.00111557654033344,0.000182949140139041
"Store_id.152",2.5281597692459e-05,3.38784002258044e-05,0.000243932186852055
"Store_id.280",2.46144754596084e-05,0.00111107785752794,0.000121966093426028
"Store_id.77",2.31346861216883e-05,0.000215047178576177,0.000182949140139041
"Store_id.32",2.29104750864076e-05,0.000305596997955215,6.09830467130138e-05
"Store_id.270",2.25754619844204e-05,0.00110509958744728,0.000121966093426028
"Store_id.184",2.24535809819277e-05,1.31411318426896e-05,0.000182949140139041
"Store_id.70",2.23449854884657e-05,4.8397714608292e-06,0.000304915233565069
"Store_id.275",2.17817310586699e-05,0.00111117926226331,0.000121966093426028
"Store_id.166",2.17160755758616e-05,0.00110898984184056,0.000121966093426028
"Store_id.292",2.15286788878576e-05,0.00110427452164586,0.000121966093426028
"Store_id.214",2.12548572868091e-05,0.00110341719070137,0.000121966093426028
"Store_id.274",2.10275214642196e-05,2.85223864758201e-05,0.000182949140139041
"Store_id.246",2.0786974797065e-05,0.000560394832796336,0.000182949140139041
"Store_id.345",2.01060062773901e-05,0.00104728045106191,0.000121966093426028
"Store_id.67",1.78075004240946e-05,1.67041254990905e-05,0.000304915233565069
"Store_id.210",1.7682180090375e-05,7.32142189369628e-05,0.000121966093426028
"Store_id.89",1.74466963094192e-05,2.93428429710844e-05,0.000182949140139041
"Store_id.251",1.73969443577487e-05,3.99027633679984e-05,0.000121966093426028
"Store_id.311",1.70014927538998e-05,1.41136954410086e-05,6.09830467130138e-05
"Region_Code.R4",1.57617862102852e-05,9.37071940939596e-06,0.000121966093426028
"Store_id.211",1.34946902678534e-05,0.000552526747192874,6.09830467130138e-05
"Store_id.29",1.21967502070159e-05,4.64894618608793e-05,0.000182949140139041
"Store_id.207",1.21381957914522e-05,0.000562897686037508,0.000121966093426028
"Store_id.285",1.19655135632588e-05,0.000550037721870162,6.09830467130138e-05
"Store_id.18",1.1662565671965e-05,0.00047698482864856,6.09830467130138e-05
"Store_id.48",1.14887309103743e-05,2.97761177494825e-05,0.000243932186852055
"Store_id.62",1.10769309658063e-05,1.42980676871354e-05,0.000121966093426028
"Store_id.365",1.10117568305092e-05,3.25924038090698e-05,0.000121966093426028
"Store_id.27",1.07312066902403e-05,0.000554264455612619,6.09830467130138e-05
"Store_id.363",1.03360458012249e-05,0.000550378810525496,6.09830467130138e-05
"Store_id.84",1.01119499398537e-05,0.000555831619704697,6.09830467130138e-05
"Store_id.95",1.00433928688301e-05,7.40715498814526e-05,0.000121966093426028
"Store_id.309",1.00384308590899e-05,2.22767766382738e-05,6.09830467130138e-05
"Store_id.281",9.7167151806757e-06,2.3064967990466e-05,0.000182949140139041
"Store_id.335",9.5889380683221e-06,3.98566703064667e-05,6.09830467130138e-05
"Store_id.20",9.55609602946712e-06,5.31406906399046e-05,6.09830467130138e-05
"Store_id.96",9.46430877805916e-06,0.000548318450675029,6.09830467130138e-05
"Store_id.310",9.31925955080239e-06,5.40210681151602e-06,0.000243932186852055
"Region_Code.R1",9.05282417171219e-06,2.83426235358464e-05,0.000121966093426028
"Store_id.133",7.95065513354985e-06,1.09148369707081e-05,6.09830467130138e-05
